latitude,longitude,OBJECTID,CECPlantID,PlantName,Retired_Plant,OperatorCompanyID,County,Capacity_Latest,Units,PriEnergySource,StartDate
37.7566434620001,-122.381915667,2114,G0462,Potrero Generating Station - Retired 2/28/2011,1,GenOn Holdings Inc.,San Francisco,363,"POT3, POT4, POT5, POT6",DFO,"Fri, 01 Jan 1965 00:00:00 GMT"
37.7373037610001,-122.375769934,2125,G0272,Hunters Point (Closed May 2006),1,Pacific Gas & Electric (PG&E),San Francisco,222,"Unit 144, Unit 321",NG,"Sun, 12 Dec 1948 00:00:00 GMT"
37.7914428170001,-121.600549981,2148,G0184,Byron Power Partners LP - Retired December 2010,1,Ridgewood Power Management LLC,Alameda,1.3,Unit 1-5,NG,"Tue, 01 May 1990 00:00:00 GMT"
37.7280446180001,-121.649388058,2149,W0333,ALTAMONT-  01W035 - Retired 10/31/2015,1,See WPRS for details,Alameda,72,WPRS 1,WND,"Fri, 01 Jan 1988 00:00:00 GMT"
37.707867908,-121.640463272,2153,W0298,Seawest Industries  Inc San Jacinto - Retired 11/1/2015,1,Seawest Energy Group,Riverside,17,WPRS 1,WND,"Sat, 01 Jan 1983 00:00:00 GMT"
37.74150602,-121.656433561,2154,W0322,Altamont Pass Windplant -Retired 11/1/2015,1,See WPRS for details,Alameda,110,WPRS 1,WND,"Fri, 01 Jan 1988 00:00:00 GMT"
37.7397968080001,-121.64588698,2155,W0331,Santa Clara 85C - Decommissioned 7/1/2016,1,Not Available,Alameda,16.02,WPRS 1,WND,"Mon, 30 Dec 1985 00:00:00 GMT"
37.7322709370001,-121.652960783,2156,W0336,Altamont Infrastructure Company - 01W144 - Retired 11/1/2015,1,Green Ridge Service LLC,Alameda,367.03,WPRS 1,WND,"Fri, 01 Jan 1988 00:00:00 GMT"
37.743643886,-121.655454983,2157,W0337,ALTAMONT - 01W146A - Retired 10/31/2015,1,See WPRS for details,Alameda,43.1,WPRS 1,WND,"Fri, 01 Jan 1988 00:00:00 GMT"
37.7569277150001,-121.686419607,2158,W0340,ALTAMONT - 01W146D - Retired 11/1/2015,1,See WPRS for details,Alameda,15,WPRS 1,WND,"Wed, 01 Jan 1986 00:00:00 GMT"
37.767286325,-121.579023295,2159,W0346,Altamont Midway Ltd - Retired 4/1/2015,1,See WPRS for details,Alameda,56.2,WPRS 1,WND,"Tue, 16 Apr 1985 00:00:00 GMT"
37.739135757,-121.691550335,2160,W0347,ALTAMONT - 16W011 - Retired 10/31/2015,1,See WPRS for details,Alameda,23.8,WPRS 1,WND,"Thu, 01 Jan 1987 00:00:00 GMT"
37.7810022580001,-121.69080183,2161,W0348,Flowind 3-4 - Retired 10/31/2015,1,Green Ridge Service LLC,Alameda,18.96,WPRS 1,WND,"Tue, 01 Jan 1985 00:00:00 GMT"
37.709379691,-121.601047737,2162,W0352,Patterson Pass -Retired 11/1/2014,1,See WPRS for details,Alameda,21.84,WPRS 1,WND,"Tue, 02 Apr 1985 00:00:00 GMT"
37.7518937460001,-121.611034424,2163,W0353,Dyer Road - Retired 4/1/2015,1,See WPRS for details,Alameda,16.9,WPRS 1,WND,"Sun, 31 Dec 1989 00:00:00 GMT"
37.7368074710001,-121.652560354,2164,W0375,Difwind VII - Retired 11/1/2015,1,See WPRS for details,Alameda,24,WPRS 1,WND,"Thu, 01 Jan 1987 00:00:00 GMT"
